accessory,amount,rarity,rarity_score
3d glasses,286,0.0286,34.96503496503497
bandana,481,0.0481,20.79002079002079
beanie,44,0.0044,227.27272727272725
big beard,146,0.0146,68.4931506849315
big shades,535,0.0535,18.69158878504673
black lipstick,617,0.0617,16.207455429497568
blonde bob,147,0.0147,68.02721088435375
blonde short,129,0.0129,77.51937984496124
blue eye shadow,266,0.0266,37.59398496240602
buck teeth,78,0.0078,128.2051282051282
cap,351,0.0351,28.49002849002849
cap forward,254,0.0254,39.37007874015748
chinstrap,282,0.0282,35.46099290780142
choker,48,0.0048,208.33333333333334
cigarette,961,0.0961,10.40582726326743
classic shades,502,0.0502,19.9203187250996
clown eyes blue,384,0.0384,26.041666666666668
clown eyes green,382,0.0382,26.17801047120419
clown hair green,148,0.0148,67.56756756756756
clown nose,212,0.0212,47.16981132075472
cowboy hat,142,0.0142,70.4225352112676
crazy hair,414,0.0414,24.154589371980677
dark hair,157,0.0157,63.69426751592357
do-rag,300,0.03,33.333333333333336
earring,2459,0.2459,4.06669377795852
eye mask,293,0.0293,34.129692832764505
eye patch,461,0.0461,21.691973969631235
fedora,186,0.0186,53.763440860215056
front beard,273,0.0273,36.63003663003663
front beard dark,260,0.026,38.46153846153846
frown,261,0.0261,38.314176245210724
frumpy hair,442,0.0442,22.62443438914027
goat,295,0.0295,33.898305084745765
gold chain,169,0.0169,59.1715976331361
green eye shadow,271,0.0271,36.90036900369004
half shaved,147,0.0147,68.02721088435375
handlebars,263,0.0263,38.02281368821293
headband,406,0.0406,24.630541871921185
hoodie,259,0.0259,38.61003861003861
horned rim glasses,535,0.0535,18.69158878504673
hot lipstick,696,0.0696,14.367816091954024
knitted cap,419,0.0419,23.86634844868735
luxurious beard,286,0.0286,34.96503496503497
medical mask,175,0.0175,57.14285714285714
messy hair,460,0.046,21.73913043478261
mohawk,441,0.0441,22.675736961451246
mohawk dark,429,0.0429,23.31002331002331
mohawk thin,441,0.0441,22.675736961451246
mole,644,0.0644,15.527950310559007
mustache,288,0.0288,34.72222222222222
muttonchops,303,0.0303,33.003300330033
nerd glasses,572,0.0572,17.482517482517483
normal beard,292,0.0292,34.24657534246575
normal beard black,289,0.0289,34.602076124567475
orange side,68,0.0068,147.05882352941177
peak spike,303,0.0303,33.003300330033
pigtails,94,0.0094,106.38297872340425
pilot helmet,54,0.0054,185.18518518518516
pink with hat,95,0.0095,105.26315789473685
pipe,317,0.0317,31.545741324921135
police cap,203,0.0203,49.26108374384237
purple eye shadow,262,0.0262,38.167938931297705
purple hair,165,0.0165,60.6060606060606
purple lipstick,655,0.0655,15.267175572519083
red mohawk,147,0.0147,68.02721088435375
regular shades,527,0.0527,18.975332068311197
rosy cheeks,128,0.0128,78.125
shadow beard,526,0.0526,19.011406844106464
shaved head,300,0.03,33.333333333333336
silver chain,156,0.0156,64.1025641025641
small shades,378,0.0378,26.455026455026456
smile,238,0.0238,42.016806722689076
spots,124,0.0124,80.64516129032258
straight hair,151,0.0151,66.2251655629139
straight hair blonde,144,0.0144,69.44444444444444
straight hair dark,148,0.0148,67.56756756756756
stringy hair,463,0.0463,21.598272138228943
tassle hat,178,0.0178,56.17977528089888
tiara,55,0.0055,181.81818181818184
top hat,115,0.0115,86.95652173913044
vampire hair,147,0.0147,68.02721088435375
vape,272,0.0272,36.76470588235294
vr,332,0.0332,30.12048192771084
welding goggles,86,0.0086,116.27906976744185
wild blonde,144,0.0144,69.44444444444444
wild hair,447,0.0447,22.371364653243848
wild white hair,136,0.0136,73.52941176470588
